penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id
00-0036369,J.Simpson,Unnecessary Roughness,15.0,1.0,10.0,31.0,3.0,20.0,-1.9400849422672763,-0.004166901111602783,NYJ,2024_03_NE_NYJ
00-0037156,I.Charles,Unnecessary Roughness,15.0,4.0,28.0,49.0,4.0,862.0,-1.7138720673974603,-0.0008179899305105209,NYJ,2024_03_NE_NYJ
00-0033537,D.Watson,Intentional Grounding,13.0,2.0,9.0,54.0,2.0,568.0,-1.9197128559462726,-0.04346364736557007,CLE,2024_03_NYG_CLE
00-0037241,T.Penning,Unnecessary Roughness,15.0,3.0,4.0,44.0,4.0,324.0,0.057978733675554395,0.02052408456802368,NO,2024_03_PHI_NO
00-0035942,C.Rozeboom,Face Mask,15.0,2.0,4.0,64.0,1.0,865.0,1.8845500883180648,0.08349102735519409,SF,2024_03_SF_LA
00-0026498,M.Stafford,Intentional Grounding,11.0,1.0,10.0,61.0,2.0,464.0,-1.5557375771459192,-0.02538454532623291,LA,2024_03_SF_LA
00-0033907,D.Smoot,Unnecessary Roughness,15.0,2.0,1.0,41.0,1.0,120.0,1.170983826275915,-0.0015541315078735352,BAL,2024_04_BUF_BAL
00-0034796,L.Jackson,Intentional Grounding,14.0,1.0,10.0,70.0,3.0,900.0,-2.2523409612476826,-0.008526027202606201,BAL,2024_04_BUF_BAL
00-0033281,M.Humphrey,Unnecessary Roughness,15.0,2.0,7.0,44.0,3.0,390.0,-4.807629231596366,-0.06819364428520203,BUF,2024_04_BUF_BAL
00-0036410,T.Higgins,Offensive Pass Interference,9.0,2.0,1.0,41.0,4.0,855.0,-1.3062627501785755,-0.018728435039520264,CIN,2024_04_CIN_CAR
00-0038115,D.Bellinger,Face Mask,15.0,2.0,7.0,37.0,1.0,656.0,-1.2279206404928118,-0.05437672138214111,NYG,2024_04_DAL_NYG
00-0037666,J.Tolbert,Offensive Pass Interference,10.0,1.0,10.0,59.0,1.0,487.0,-0.9004231521394104,-0.03387045860290527,DAL,2024_04_DAL_NYG
00-0036358,C.Lamb,Taunting,15.0,1.0,10.0,55.0,2.0,565.0,4.817268210463226,0.1528541077089851,DAL,2024_04_DAL_NYG
00-0039868,T.Franklin,Offensive Pass Interference,10.0,1.0,10.0,30.0,1.0,848.0,-1.0147321642143652,-0.023790955543518066,DEN,2024_04_DEN_NYJ
00-0034521,A.Lazard,Unsportsmanlike Conduct,15.0,1.0,10.0,30.0,3.0,91.0,-0.23850431316532195,-0.0010813474655151367,NYJ,2024_04_DEN_NYJ
00-0039893,B.Thomas,Unsportsmanlike Conduct,15.0,3.0,10.0,59.0,3.0,801.0,1.679020055104047,0.06258940696716309,JAX,2024_04_JAX_HOU
00-0034928,S.Sims,Unnecessary Roughness,13.0,4.0,11.0,72.0,4.0,340.0,0.9383310326375067,0.022901326417922974,JAX,2024_04_JAX_HOU
00-0038135,J.Brisker,Unnecessary Roughness,15.0,1.0,10.0,58.0,2.0,900.0,2.255378603003919,0.047882914543151855,LA,2024_04_LA_CHI
00-0036849,T.Atwell,Offensive Pass Interference,10.0,2.0,5.0,15.0,2.0,80.0,-1.3854513258847874,-0.026680469512939453,LA,2024_04_LA_CHI
00-0039850,E.Cooper,Face Mask,15.0,1.0,10.0,73.0,1.0,407.0,2.396366252563894,0.052257239818573,MIN,2024_04_MIN_GB
,,Unsportsmanlike Conduct,14.0,1.0,3.0,3.0,2.0,39.0,-2.6032917299307883,-0.004909012466669083,GB,2024_04_MIN_GB
