penalty_player_id,penalty_player_name,penalty_type,penalty_yards,down,ydstogo,yardline_100,qtr,quarter_seconds_remaining,epa,wpa,posteam,game_id,week
00-0026486,K.Onatolu,Unnecessary Roughness,15.0,4.0,27.0,97.0,4.0,21.0,0.05531851202249527,0.029039591550827026,DET,2011_03_DET_MIN,3
00-0022781,M.Jenkins,Illegal Forward Pass,0.0,1.0,10.0,60.0,4.0,11.0,-0.22874007117934525,-0.13816364051308483,MIN,2011_03_DET_MIN,3
00-0024272,D.Hester,Unnecessary Roughness,15.0,2.0,20.0,65.0,4.0,511.0,-1.5147701636888087,-0.021952956914901733,CHI,2011_03_GB_CHI,3
00-0023630,J.Dreessen,Offensive Pass Interference,10.0,3.0,5.0,75.0,4.0,154.0,-0.735734686255455,-0.02533022314310074,HOU,2011_03_HOU_NO,3
00-0026253,D.Lowery,Face Mask,15.0,3.0,2.0,72.0,2.0,418.0,2.301355296629481,0.053072988986968994,CAR,2011_03_JAX_CAR,3
00-0027076,M.Thomas,Offensive Pass Interference,10.0,3.0,2.0,60.0,4.0,191.0,-1.0710984994657338,-0.03715471923351288,JAX,2011_03_JAX_CAR,3
00-0027082,V.Martin,Unsportsmanlike Conduct,15.0,3.0,8.0,34.0,1.0,443.0,-6.904214846203104,-0.22208243608474731,LAC,2011_03_KC_SD,3
00-0024287,L.Pope,Offensive Pass Interference,10.0,1.0,10.0,41.0,4.0,367.0,-1.0273509299149737,-0.035482488572597504,KC,2011_03_KC_SD,3
00-0024287,L.Pope,Unsportsmanlike Conduct,15.0,1.0,1.0,1.0,4.0,303.0,0.9100750945217442,0.04687132764483937,KC,2011_03_KC_SD,3
00-0027975,J.Sheard,Unnecessary Roughness,15.0,3.0,12.0,95.0,3.0,552.0,2.535791741684079,0.08490654826164246,MIA,2011_03_MIA_CLE,3
00-0024334,B.Marshall,Unnecessary Roughness,15.0,3.0,5.0,5.0,3.0,171.0,-1.8327240456828533,-0.10800498723983765,MIA,2011_03_MIA_CLE,3
00-0022915,I.Olshansky,Unnecessary Roughness,15.0,2.0,9.0,88.0,4.0,494.0,1.5839805537834764,0.0613274872303009,CLE,2011_03_MIA_CLE,3
00-0027959,P.Taylor,Unnecessary Roughness,15.0,2.0,8.0,44.0,4.0,267.0,1.7715934441657737,0.05580449104309082,MIA,2011_03_MIA_CLE,3
00-0022943,B.Watson,Unsportsmanlike Conduct,15.0,1.0,10.0,14.0,4.0,48.0,2.7849083648179658,0.20133532688896172,CLE,2011_03_MIA_CLE,3
00-0021990,N.Barnett,Unnecessary Roughness,15.0,1.0,10.0,80.0,2.0,116.0,1.5880552490707487,0.022605538368225098,NE,2011_03_NE_BUF,3
00-0027018,J.Byrd,Unnecessary Roughness,13.0,1.0,10.0,37.0,2.0,77.0,1.8139953648205847,0.010593295097351074,NE,2011_03_NE_BUF,3
00-0022712,V.Wilfork,Unnecessary Roughness,2.0,2.0,1.0,1.0,4.0,97.0,0.48827228299342096,0.029887795448303223,BUF,2011_03_NE_BUF,3
00-0023443,A.Rolle,Unnecessary Roughness,11.0,1.0,10.0,33.0,2.0,182.0,1.3735473766573705,0.021523743867874146,PHI,2011_03_NYG_PHI,3
00-0026533,D.Bryant,Unnecessary Roughness,15.0,2.0,9.0,60.0,3.0,246.0,1.6585184466093779,0.04644697904586792,NYJ,2011_03_NYJ_OAK,3
00-0026986,M.Crabtree,Illegal Touch Pass,5.0,2.0,10.0,10.0,3.0,398.0,-0.5944149710703641,-0.049087852239608765,SF,2011_03_SF_CIN,3
00-0027014,R.Maualuga,Unnecessary Roughness,5.0,2.0,15.0,15.0,3.0,388.0,1.7378560138167813,0.0808551013469696,SF,2011_03_SF_CIN,3
00-0025624,A.Ball,Unnecessary Roughness,15.0,2.0,6.0,65.0,4.0,326.0,1.7694780862657353,0.08815759420394897,WAS,2011_03_WAS_DAL,3
00-0022923,D.Hall,Face Mask,15.0,3.0,21.0,70.0,4.0,140.0,3.684816699998919,0.2696966826915741,DAL,2011_03_WAS_DAL,3
00-0027871,S.Weatherspoon,Face Mask,15.0,1.0,10.0,89.0,2.0,845.0,1.1388122290372849,0.02137470245361328,SEA,2011_04_ATL_SEA,4
00-0025431,S.Rice,Unsportsmanlike Conduct,15.0,1.0,10.0,52.0,2.0,534.0,4.482557168230414,0.10075949250004679,SEA,2011_04_ATL_SEA,4
00-0027322,D.Nelson,Offensive Pass Interference,6.0,1.0,10.0,88.0,2.0,339.0,-0.6809059698134661,-0.020481109619140625,BUF,2011_04_BUF_CIN,4
00-0024272,D.Hester,Unsportsmanlike Conduct,15.0,4.0,5.0,75.0,2.0,710.0,-5.577575999544933,-0.0706066816681521,CAR,2011_04_CAR_CHI,4
00-0021148,J.Shockey,Offensive Pass Interference,10.0,1.0,10.0,22.0,3.0,400.0,-1.114450940163806,-0.09543925523757935,CAR,2011_04_CAR_CHI,4
00-0022123,C.Tillman,Face Mask,15.0,1.0,10.0,67.0,3.0,121.0,1.4041872171219438,0.04756113886833191,CAR,2011_04_CAR_CHI,4
00-0024267,G.Jennings,Offensive Pass Interference,10.0,1.0,10.0,76.0,4.0,890.0,-1.0072375400923193,-0.000018358230590820312,GB,2011_04_DEN_GB,4
00-0027654,A.Benn,Illegal Touch Pass,5.0,2.0,7.0,62.0,1.0,11.0,-0.6414899018127471,-0.0239621102809906,TB,2011_04_IND_TB,4
00-0027450,P.Parker,Unnecessary Roughness,15.0,3.0,3.0,68.0,2.0,87.0,0.3967018990078941,0.031154781579971313,TB,2011_04_IND_TB,4
00-0025395,J.Anderson,Unnecessary Roughness,15.0,1.0,10.0,43.0,3.0,255.0,0.6626378234941512,0.01931360363960266,TB,2011_04_IND_TB,4
00-0022922,K.Winslow,Face Mask,11.0,1.0,20.0,77.0,4.0,678.0,-0.9367876634933054,-0.008424639701843262,TB,2011_04_IND_TB,4
00-0027585,R.Goodman,Unsportsmanlike Conduct,15.0,4.0,10.0,89.0,2.0,193.0,-2.140279241662938,-0.09957230091094971,LAC,2011_04_MIA_SD,4
00-0022414,M.Floyd,Illegal Touch Pass,5.0,3.0,4.0,34.0,3.0,206.0,-0.67982387682423,-0.014680206775665283,LAC,2011_04_MIA_SD,4
00-0027701,E.Griffen,Face Mask,15.0,3.0,13.0,46.0,1.0,755.0,2.300983772613108,0.09032565355300903,KC,2011_04_MIN_KC,4
00-0026155,B.Albert,Face Mask,15.0,1.0,10.0,11.0,1.0,552.0,-1.3530938606709242,-0.009018242359161377,KC,2011_04_MIN_KC,4
00-0025529,S.Breaston,Offensive Pass Interference,10.0,1.0,15.0,30.0,3.0,147.0,-0.671743314829655,0.0007177591323852539,KC,2011_04_MIN_KC,4
00-0020442,R.Seymour,Unnecessary Roughness,15.0,3.0,9.0,79.0,1.0,560.0,2.3591036438010633,0.06812244653701782,NE,2011_04_NE_OAK,4
00-0020442,R.Seymour,Face Mask,15.0,2.0,10.0,50.0,1.0,463.0,1.7369995863409713,0.07540449500083923,NE,2011_04_NE_OAK,4
00-0027023,M.Mitchell,Taunting,15.0,,0.0,35.0,2.0,620.0,0.9297334495931864,0.03927510976791382,NE,2011_04_NE_OAK,4
00-0027010,P.Chung,Unnecessary Roughness,15.0,3.0,12.0,45.0,4.0,636.0,2.493565793382004,0.010262548923492432,LV,2011_04_NE_OAK,4
00-0022040,S.Shanle,Face Mask,15.0,3.0,20.0,62.0,2.0,555.0,3.481676741153933,0.06905308365821838,JAX,2011_04_NO_JAX,4
00-0013126,J.Porter,Face Mask,13.0,1.0,10.0,51.0,2.0,20.0,2.2170508772833273,0.05958634614944458,NYG,2011_04_NYG_ARI,4
00-0025423,K.Kolb,Intentional Grounding,10.0,2.0,10.0,52.0,3.0,276.0,-1.8457779814489186,-0.05992734432220459,ARI,2011_04_NYG_ARI,4
00-0026158,J.Flacco,Intentional Grounding,6.0,1.0,10.0,87.0,1.0,892.0,-1.350176756735891,-0.03364741802215576,BAL,2011_04_NYJ_BAL,4
00-0019642,P.Burress,Face Mask,15.0,1.0,10.0,80.0,2.0,799.0,-0.605874921893701,-0.009308949112892151,NYJ,2011_04_NYJ_BAL,4
00-0026901,M.Wallace,Taunting,15.0,1.0,10.0,69.0,1.0,190.0,0.46571589540690184,0.017444878816604614,PIT,2011_04_PIT_HOU,4
00-0027870,M.Pouncey,Unnecessary Roughness,15.0,1.0,10.0,20.0,2.0,71.0,-0.03494277020217851,-0.0,PIT,2011_04_PIT_HOU,4
00-0028131,B.Rolle,Face Mask,15.0,2.0,3.0,42.0,4.0,285.0,0.9424557112506591,0.044549599289894104,SF,2011_04_SF_PHI,4
00-0024429,C.Finnegan,Unnecessary Roughness,15.0,2.0,5.0,72.0,2.0,147.0,1.3824270104523748,0.039594367146492004,CLE,2011_04_TEN_CLE,4
00-0027688,C.McCoy,Illegal Forward Pass,5.0,2.0,10.0,40.0,4.0,291.0,-1.4839558860403486,-0.0007237333338707685,CLE,2011_04_TEN_CLE,4
00-0022121,R.Grossman,Intentional Grounding,11.0,3.0,8.0,61.0,2.0,614.0,-1.9907970782369375,-0.06603032350540161,WAS,2011_04_WAS_STL,4
00-0027704,P.Riley,Unnecessary Roughness,15.0,4.0,19.0,72.0,2.0,605.0,-1.5112159373238683,-0.004439562559127808,WAS,2011_04_WAS_STL,4
00-0026979,J.Smith,Face Mask,15.0,3.0,7.0,28.0,2.0,440.0,-1.8348224541405216,-0.045418888330459595,LA,2011_04_WAS_STL,4
00-0028093,N.Paul,Unnecessary Roughness,15.0,4.0,1.0,71.0,2.0,46.0,-0.05914788425434381,-0.009932264685630798,WAS,2011_04_WAS_STL,4
00-0022923,D.Hall,Unnecessary Roughness,5.0,3.0,2.0,23.0,4.0,679.0,2.066858039237559,0.010992951691150665,LA,2011_04_WAS_STL,4
00-0026232,C.Avril,Face Mask,15.0,3.0,1.0,79.0,1.0,340.0,1.1008379394188523,0.027214258909225464,CHI,2011_05_CHI_DET,5
00-0025411,B.Meriweather,Unnecessary Roughness,15.0,1.0,10.0,57.0,2.0,37.0,-0.8888005537446588,-0.08258217573165894,DET,2011_05_CHI_DET,5
00-0019456,B.Urlacher,Unnecessary Roughness,15.0,3.0,9.0,45.0,3.0,615.0,2.9974359647603706,0.1365857720375061,DET,2011_05_CHI_DET,5
00-0023462,R.White,Unsportsmanlike Conduct,14.0,3.0,10.0,80.0,3.0,174.0,-1.8205374707467854,-0.055146723985672,ATL,2011_05_GB_ATL,5
,,Unsportsmanlike Conduct,15.0,4.0,15.0,85.0,3.0,141.0,0.8716873144730926,0.0052907466888427734,ATL,2011_05_GB_ATL,5
00-0024220,A.Hawk,Unnecessary Roughness,15.0,1.0,10.0,84.0,4.0,672.0,0.8975938935764134,0.03343138098716736,ATL,2011_05_GB_ATL,5
00-0023662,M.Cassel,Intentional Grounding,14.0,2.0,11.0,64.0,4.0,716.0,-1.996618613600731,-0.045710474252700806,KC,2011_05_KC_IND,5
00-0024242,D.Williams,Face Mask,3.0,1.0,10.0,77.0,1.0,895.0,-6.898394526564516,-0.23442304134368896,CAR,2011_05_NO_CAR,5
00-0027966,M.Ingram,Taunting,15.0,2.0,1.0,1.0,2.0,331.0,1.0928810688201338,0.0273718468675046,NO,2011_05_NO_CAR,5
00-0027656,R.Gronkowski,Face Mask,14.0,1.0,10.0,72.0,1.0,303.0,-1.6335814697667956,-0.015628397464752197,NE,2011_05_NYJ_NE,5
00-0028292,N.Bellore,Unnecessary Roughness,15.0,4.0,1.0,71.0,2.0,870.0,-1.9036569241434336,-0.037646666169166565,NYJ,2011_05_NYJ_NE,5
00-0023846,M.Brisiel,Face Mask,15.0,1.0,10.0,52.0,4.0,89.0,-0.8808568006497808,-0.05261242389678955,HOU,2011_05_OAK_HOU,5
